word,ndar_item_id,wb_item_id
couch,269,269
crib,270,270
door,271,271
drawer,272,272
dryer,273,273
garage,274,274
high chair,275,275
kitchen,276,276
living room,277,277
oven,278,278
play pen,279,279
porch,280,280
potty,281,281
rocking chair,282,282
refrigerator,283,283
room,284,284
shower,285,285
sink,286,286
sofa,287,287
stairs,288,288
stove,289,289
table,290,290
TV,291,291
window,292,292
washing machine,293,293
backyard,294,294
cloud,295,295
flag,296,296
flower,297,297
garden,298,298
grass,299,299
hose,300,300
ladder,301,301
lawn mower,302,302
moon,303,303
pool,304,304
rain,305,305
rock,306,306
roof,307,307
sandbox,308,308
shovel,309,309
sidewalk,310,310
sky,311,311
slide (object),312,312
snow,313,313
snowman,314,314
sprinkler,315,315
star,316,316
stick,317,317
stone,318,318
street,319,319
sun,320,320
swing (object),321,321
tree,322,322
water (not beverage),323,323
wind,324,324
spill,325,479
beach,326,325
camping,327,326
church*,328,327
circus,329,328
country,330,329
downtown,331,330
farm,332,331
gas station,333,332
home,334,333
house,335,334
movie,336,335
outside,337,336
park,338,337
party,339,338
picnic,340,339
playground,341,340
school,342,341
store,343,342
woods,344,343
work (place),345,344
yard,346,345
zoo,347,346
aunt,348,347
baby,349,348
babysitter,350,349
babysitter's name,351,350
boy,352,351
brother,353,352
child,354,353
clown,355,354
cowboy,356,355
daddy*,357,356
doctor,358,357
fireman,359,358
friend,360,359
girl,361,360
grandma*,362,361
grandpa*,363,362
lady,364,363
mailman,365,364
man,366,365
mommy*,367,366
nurse,368,367
child's own name,369,368
people,370,369
person,371,370
pet's name,372,371
police,373,372
sister,374,373
teacher,375,374
uncle,376,375
bath,377,376
breakfast,378,377
bye,379,378
call (on phone),380,379
dinner,381,380
give me five!,382,381
gonna get you!,383,382
go potty,384,383
hi,385,385
hello,386,384
lunch,387,386
nap,388,387
night night,389,388
no,390,389
pattycake,391,390
peekaboo,392,391
please,393,392
shh/shush/hush,394,393
shopping,395,394
snack,396,395
so big!,397,396
thank you,398,397
this little piggy,399,398
turn around,400,399
yes,401,400
bite,402,401
blow,403,402
break,404,403
bring,405,404
build,406,405
bump,407,406
buy,408,407
carry,409,408
catch,410,409
chase,411,410
clap,412,411
clean (action),413,412
climb,414,413
close,415,414
cook,416,415
cover,417,416
cry,418,417
cut,419,418
dance,420,419
draw,421,420
drink (action),422,421
drive,423,422
drop,424,423
dry (action),425,424
dump,426,425
eat,427,426
fall,428,427
feed,429,428
find,430,429
finish,431,430
fit,432,431
fix,433,432
get,434,433
give,435,434
go,436,435
hate,437,436
have,438,437
hear,439,438
help,440,439
hide,441,440
hit,442,441
hold,443,442
hug,444,443
hurry,445,444
jump,446,445
kick,447,446
kiss,448,447
knock,449,448
lick,450,449
like,451,450
listen,452,451
look,453,452
love,454,453
make,455,454
open,456,455
paint,457,456
pick,458,457
play,459,458
pour,460,459
pretend,461,460
pull,462,461
push,463,462
put,464,463
read,465,464
ride,466,465
rip,467,466
run,468,467
say,469,468
see,470,469
shake,471,470
share,472,471
show,473,472
sing,474,473
sit,475,474
skate,476,475
sleep,477,476
slide (action),478,477
smile,479,478
splash,480,480
stand,481,481
stay,482,482
stop,483,483
sweep,484,484
swim,485,485
swing (action),486,486
take,487,487
talk,488,488
taste,489,489
tear,490,490
think,491,491
throw,492,492
tickle,493,493
touch,494,494
wait,495,495
wake,496,496
walk,497,497
wash,498,498
watch (action),499,499
wipe,500,500
wish,501,501
work (action),502,502
write,503,503
all gone,504,504
asleep,505,505
awake,506,506
bad,507,507
better,508,508
big,509,509
black,510,510
blue,511,511
broken,512,512
brown,513,513
careful,514,514
clean (description),515,515
cold,516,516
cute,517,517
dark,518,518
dirty,519,519
dry (description),520,520
empty,521,521
fast,522,522
fine,523,523
first,524,524
full,525,525
gentle,526,526
good,527,527
green,528,528
happy,529,529
hard,530,530
heavy,531,531
high,532,532
hot,533,533
hungry,534,534
hurt,535,535
last,536,536
little (description),537,537
long,538,538
loud,539,539
mad,540,540
naughty,541,541
new,542,542
nice,543,543
noisy,544,544
old,545,545
orange (description),546,546
poor,547,547
pretty,548,548
quiet,549,549
red,550,550
sad,551,551
scared,552,552
sick,553,553
sleepy,554,554
slow,555,555
soft,556,556
sticky,557,557
stuck,558,558
thirsty,559,559
tiny,560,560
tired,561,561
wet,562,562
white,563,563
windy,564,564
yellow,565,565
yucky,566,566
after,567,567
before,568,568
day,569,569
later,570,570
morning,571,571
night,572,572
now,573,573
time,574,574
today,575,575
tomorrow,576,576
tonight,577,577
yesterday,578,578
he,579,579
her,580,580
hers,581,581
him,582,582
his,583,583
I,584,584
it,585,585
me,586,586
mine,587,587
my,588,588
myself,589,589
our,590,590
she,591,591
that,592,592
their,593,593
them,594,594
these,595,595
they,596,596
this,597,597
those,598,598
us,599,599
we,600,600
you,601,601
your,602,602
yourself,603,603
how,604,604
what,605,605
when,606,606
where,607,607
which,608,608
who,609,609
why,610,610
about,611,611
above,612,612
around,613,613
at,614,614
away,615,615
back,616,616
behind,617,617
beside,618,618
by,619,619
down,620,620
for,621,621
here,622,622
inside/in,623,623
into,624,624
next to,625,625
of,626,626
off,627,627
on,628,628
on top of,629,629
out,630,630
over,631,631
there,632,632
to,633,633
under,634,634
up,635,635
with,636,636
a,637,637
all,638,638
a lot,639,639
an,640,640
another,641,641
any,642,642
each,643,643
every,644,644
more,645,645
much,646,646
not,647,648
none,648,647
other,649,649
same,650,650
some,651,651
the,652,652
too,653,653
am,654,654
are,655,655
be,656,656
can (auxiliary),657,657
could,658,658
did/did ya,659,659
do,660,660
does,661,661
don't,662,662
gonna/going to,663,663
gotta/got to,664,664
hafta/have to,665,665
is,666,666
lemme/let me,667,667
need/need to,668,668
try/try to,669,669
wanna/want to,670,670
was,671,671
were,672,672
will,673,673
would,674,674
and,675,675
because,676,676
but,677,677
if,678,678
so,679,679
then,680,680
